=== Video Duration Debug Log - Worker 3 ===
Started: 2025-09-04 17:41:22.343685
Format: [TIMESTAMP] RESOURCE_NAME | URL | RAW_HTML_ELEMENT | EXTRACTED_DURATION

[17:41:33] Six types of enzymes | https://www.khanacademy.org/test-prep/mcat/chemical-processes/enzymes/v/the-six-types-of-enzymes | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:04</span> | 7.1 minutes
[17:41:42] An introduction to enzyme kinetics | https://www.khanacademy.org/test-prep/mcat/chemical-processes/enzymes/v/an-introduction-to-enzyme-kinetics | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:4:44</span> | 4.7 minutes
[17:41:50] Allosteric regulation and feedback loops | https://www.khanacademy.org/test-prep/mcat/chemical-processes/enzymes/v/allosteric-regulation-and-feedback-loops | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:6:05</span> | 6.1 minutes
[17:42:06] Introduction to reaction rates | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/rate-of-reaction | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:14</span> | 9.2 minutes
[17:42:16] Rate law and reaction order | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/rate-law-and-reaction-order | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:39</span> | 10.7 minutes
[17:42:24] Worked example: Determining a rate law using initial rates data | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/experimental-determination-of-rate-laws | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:12:28</span> | 12.5 minutes
[17:42:31] First-order reaction (with calculus) | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/first-order-reaction-with-calculus | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:14</span> | 7.2 minutes
[17:42:39] Plotting data for a first-order reaction | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/plotting-data-for-a-first-order-reaction | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:21</span> | 9.3 minutes
[17:42:47] Half-life of a first-order reaction | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/half-life-of-a-first-order-reaction | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:16</span> | 8.3 minutes
[17:42:58] Worked example: Using the first-order integrated rate law and half-life equations | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/first-order-reaction-example | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:20</span> | 10.3 minutes
[17:43:09] Second-order reaction (with calculus) | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/second-order-reaction-with-calculus | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:14</span> | 7.2 minutes
[17:43:22] Half-life of a second-order reaction | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/half-life-of-a-second-order-reaction | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:09</span> | 7.2 minutes
[17:43:32] Zero-order reaction (with calculus) | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/zero-order-reaction-with-calculus | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:53</span> | 9.9 minutes
[17:43:43] Collision theory | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/collision-theory | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:48</span> | 8.8 minutes
[17:43:52] The Arrhenius equation | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/arrhenius-equation | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:24</span> | 9.4 minutes
[17:44:00] Forms of the Arrhenius equation | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/forms-of-the-arrhenius-equation | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:6:41</span> | 6.7 minutes
[17:44:09] Using the Arrhenius equation | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/using-the-arrhenius-equation | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:06</span> | 11.1 minutes
[17:44:16] Elementary reactions | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/elementary-rate-laws | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:5:35</span> | 5.6 minutes
[17:44:25] Reaction mechanism and rate law | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/mechanisms-and-the-rate-determining-step | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:42</span> | 8.7 minutes
[17:44:33] Catalysts | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/catalysts | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:30</span> | 7.5 minutes
[17:44:39] Kinetic and thermodynamic enolates | https://www.khanacademy.org/test-prep/mcat/chemical-processes/x04f6bc56:rates/v/kinetic-and-thermodynamic-enolates | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:19</span> | 8.3 minutes
[17:44:46] Dynamic equilibrium | https://www.khanacademy.org/test-prep/mcat/chemical-processes/equilibrium-mcat/v/dynamic-equilibrium | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:11</span> | 8.2 minutes
[17:44:54] Writing equilibrium constant and reaction quotient expressions | https://www.khanacademy.org/test-prep/mcat/chemical-processes/equilibrium-mcat/v/writing-equilibrium-constant-and-reaction-quotient-expressions | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:03</span> | 7.0 minutes
